,index,ICAO Empresa Aérea,Número Voo,Código Autorização (DI),Código Tipo Linha,ICAO Aeródromo Origem,ICAO Aeródromoo Destino
0,0,GLO,1844,0,N,SBGR,SBMO
1,1,TAM,3350,0,N,SBGR,SBSG
2,2,TAM,3557,0,N,SBGR,SBFI
3,3,TAM,3322,0,N,SBGR,SBFZ
4,4,TAM,3816,0,E,SBGR,SBSV
5,5,GLO,2078,0,N,SBGR,SBJU
6,6,TAM,3499,0,N,SBRF,SBGR
7,7,GLO,1281,0,N,SBRF,SBGR
8,8,TAM,3646,0,N,SBGR,SBRF
9,9,TUS,6562,0,C,SBGR,SBEG
10,10,GLO,1653,0,R,SBRF,SBFZ
11,11,GLO,1471,0,N,SBRF,SBGL
12,12,GLO,1401,0,N,SBRF,SBBR
13,13,TAM,3839,0,R,SBRF,SBGL
14,14,AZU,2999,0,L,SBGL,SBVT
15,15,TAM,3501,0,N,SBRF,SBGR
16,16,GLO,1617,0,N,SBRF,SBCF
17,17,AZU,4177,0,N,SBRF,SBCF
18,18,TAM,3181,0,N,SBBR,SBGR
19,19,ONE,6376,0,N,SBGR,SBJU
20,20,GLO,2034,0,N,SBGR,SBFZ
21,21,GLO,2060,0,N,SBGR,SBSV
22,22,GLO,2138,0,N,SBGR,SBRF
23,23,TAM,3441,0,R,SBCF,SBGR
24,24,GLO,1700,0,N,SBGR,SBRJ
25,25,GLO,1920,0,N,SBGR,SBCT
26,26,AZU,4058,0,N,SBBR,SBKP
27,27,AZU,4050,0,N,SBKP,SBFL
28,28,TAM,3173,0,N,SBBR,SBSP
29,29,TAM,3297,0,N,SBPA,SBGR
30,30,TAM,3760,0,N,SBSP,SBCY
31,31,TAM,3334,0,N,SBCT,SBGR
32,32,GLO,1544,0,N,SBGL,SBSG
33,33,GLO,2199,0,N,SBGR,SBSV
34,34,AZU,4134,0,N,SBPA,SBKP
35,35,GLO,1122,0,N,SBPA,SBCT
36,36,ONE,6312,0,N,SBGR,SBSV
37,37,AZU,2420,0,R,SBKP,SBCF
38,38,GLO,1739,0,N,SBPA,SBGL
39,39,GLO,1092,0,N,SBCF,SBSV
40,40,TAM,3901,0,E,SBRJ,SBSP
41,41,GLO,1661,0,N,SBCF,SBRJ
42,42,GLO,1514,0,N,SBBR,SBGO
43,43,TAM,3119,0,R,SBSP,SBNF
44,44,GLO,1770,0,N,SBGR,SBPS
45,45,TAM,3457,0,N,SBRF,SBBR
46,46,GLO,1990,0,N,SBGL,SBCF
47,47,AZU,2586,0,N,SBBR,SBCF
48,48,TAM,3902,0,E,SBSP,SBRJ
49,49,GLO,1400,0,N,SBSP,SBBR
50,50,GLO,1755,0,N,SBRF,SBSV
51,51,GLO,1921,0,N,SBCT,SBGR
52,52,AZU,2401,0,R,SBRJ,SBGR
53,53,AZU,4111,0,N,SBCF,SBPA
54,54,GLO,1283,0,N,SBRF,SBGR
55,55,ONE,6304,0,N,SBGR,SBRF
56,56,TAM,3270,0,R,SBSP,SBRP
57,57,GLO,2111,0,N,SBRJ,SBKP
58,58,TAM,3888,0,N,SBKP,SBBR
59,59,TAM,3242,0,R,SBSP,SBUL
60,60,TAM,3524,0,N,SBGR,SBRF
61,61,AZU,4010,0,N,SBKP,SBRJ
62,62,GLO,1260,0,N,SBGR,SBFL
63,63,TAM,3903,0,E,SBRJ,SBSP
64,64,TAM,3702,0,E,SBSP,SBBR
65,65,AZU,4981,0,N,SBRF,SBSV
66,66,TAM,3503,0,N,SBRF,SBGR
67,67,ONE,6372,0,N,SBGR,SBFZ
68,68,TAM,3157,0,N,SBGR,SBCT
69,69,GLO,1680,0,N,SBGR,SBBR
70,70,GLO,1440,0,N,SBGL,SBCT
71,71,ONE,6279,0,N,SBRF,SBGL
72,72,TAM,3496,0,R,SBCF,SBBR
73,73,GLO,1076,0,N,SBCT,SBBR
74,74,GLO,1341,0,N,SBGR,SBVT
75,75,GLO,1500,0,N,SBSP,SBFL
76,76,GLO,1473,0,N,SBRF,SBGL
77,77,TAM,3022,0,N,SBRJ,SBBR
78,78,AZU,4953,0,N,SBCF,SBCT
79,79,AZU,4186,0,N,SBKP,SBCF
80,80,ONE,6317,0,N,SBRF,SBGR
81,81,TAM,3304,0,N,SBRF,SBSV
82,82,TAM,3686,0,R,SBGR,SBGL
83,83,GLO,1005,0,E,SBRJ,SBSP
84,84,TAM,3306,0,N,SBGR,SBSG
85,85,GLO,1245,0,N,SBBR,SBGR
86,86,GLO,1303,0,N,SBCF,SBSP
87,87,GLO,1004,0,N,SBSP,SBRJ
88,88,AZU,4042,0,N,SBPA,SBKP
89,89,GLO,1918,0,N,SBGL,SBNF
90,90,TAM,3616,0,R,SBKP,SBGL
91,91,GLO,1401,0,N,SBBR,SBSP
92,92,TAM,3905,0,E,SBRJ,SBSP
93,93,GLO,1323,0,N,SBRF,SBFZ
94,94,GLO,1701,0,R,SBRJ,SBGR
95,95,TAM,3385,0,N,SBCF,SBGL
96,96,GLO,1622,0,N,SBGL,SBBR
97,97,GLO,2024,0,N,SBKP,SBBR
98,98,TAM,3711,0,E,SBBR,SBSP
99,99,AZU,2640,0,N,SBRJ,SBBR
100,100,TAM,3896,0,N,SBGR,SBSV
101,101,GLO,1550,0,N,SBGL,SBPA
102,102,GLO,1125,0,N,SBCF,SBCT
103,103,GLO,1801,0,N,SBCF,SBGR
104,104,AZU,4004,0,N,SBKP,SBRJ
105,105,TAM,3906,0,E,SBSP,SBRJ
106,106,GLO,1123,0,N,SBCT,SBPA
